name;director;runtime;release;music;budget;boxoffice;tomatometer;audiencescore;budget_adj;boxoffice_adj;Franchise
6: Star Wars: Episode III – Revenge of the Sith;George Lucas;140;15.05.2005;John Williams;113;868,4;80;66;147,928693;1136,82546;Star Wars
7: Star Wars: The Force Awakens;J. J. Abrams;135;14.12.2015;John Williams;306;2068;92;86;330,0651093;2230,636098;Star Wars
8: Rogue One;Gareth Edwards;133;10.12.2016;Michael Giacchino;232;1056;84;86;247,1278921;1124,857992;Star Wars
9: Star Wars: The Last Jedi;Rian Johnson;152;09.12.2017;John Williams;258;1333;90;42;269,090674;1390,301815;Star Wars
10: Solo: A Star Wars Story;Ron Howard;135;10.05.2018;John Powell;288;393,2;69;64;293,2184925;400,3246919;Star Wars
11: Star Wars: The Rise of Skywalker;J. J. Abrams;142;16.12.2019;John Williams;275;1074;51;86;275;1074;Star Wars
1: The Terminator;James Cameron;107;26.10.1984;Brad Fiedel;6,4;78,3;100;89;15,75040719;192,6963879;Terminator
2: Terminator 2: Judgment Day;James Cameron;137;01.07.1991;Brad Fiedel;98;520,8;93;94;183,9641633;977,6381247;Terminator
3: Terminator 3: Rise of the Machines;Jonathan Mostow;109;30.06.2003;Marco Beltrami;187,3;433,4;69;46;260,3010977;602,3197851;Terminator
4: Terminator Salvation;McG;115;21.05.2009;Danny Elfman;200;371,4;33;54;238,333714;442,5857069;Terminator
5: Terminator Genisys;Alan Taylor;126;22.06.2015;Lorne Balfe;156;440,6;27;53;168,2684871;475,2506116;Terminator
6: Terminator: Dark Fate;Tim Miller;128;23.10.2019;Junkie XL;196;261,1;70;82;196;261,1;Terminator
1: Transformers;Michael Bay;143;12.06.2007;Steve Jablonsky;175;709,7;58;85;215,7782075;875,0731076;Transformers
2: Transformers: Revenge of the Fallen;Michael Bay;150;08.06.2009;Steve Jablonsky;205;836,3;20;57;244,2920568;996,5924251;Transformers
